ticket_id,product_id,product_name,category,quantity,unit_price,subtotal,tags
T000000,P014,Quinoa (500g),Cereal,2,3.8,7.6,"vegano,cereal"
T000000,P010,Tofu ecológico (400g),Proteína,1,3.2,3.2,"vegano,proteina"
T000000,P012,Garbanzos ecológicos,Legumbre,1,2.1,2.1,"vegano,legumbre"
T000000,P013,Tahini (300g),Condimento,3,4.5,13.5,vegano
T000000,P011,Bebida de soja (1L),Lácteos Alt,3,1.5,4.5,"vegano,lacteo"
T000000,P015,Aguacate (4 uds),Fruta,1,4.2,4.2,"vegano,fruta"
T000001,P010,Tofu ecológico (400g),Proteína,4,3.2,12.8,"vegano,proteina"
T000001,P011,Bebida de soja (1L),Lácteos Alt,4,1.5,6.0,"vegano,lacteo"
T000001,P013,Tahini (300g),Condimento,4,4.5,18.0,vegano
T000001,P015,Aguacate (4 uds),Fruta,1,4.2,4.2,"vegano,fruta"
T000001,P012,Garbanzos ecológicos,Legumbre,2,2.1,4.2,"vegano,legumbre"
T000001,P014,Quinoa (500g),Cereal,3,3.8,11.4,"vegano,cereal"
T000002,P012,Garbanzos ecológicos,Legumbre,2,2.1,4.2,"vegano,legumbre"
T000002,P011,Bebida de soja (1L),Lácteos Alt,4,1.5,6.0,"vegano,lacteo"
T000002,P015,Aguacate (4 uds),Fruta,1,4.2,4.2,"vegano,fruta"
T000002,P013,Tahini (300g),Condimento,1,4.5,4.5,vegano
T000002,P010,Tofu ecológico (400g),Proteína,3,3.2,9.6,"vegano,proteina"
T000002,P014,Quinoa (500g),Cereal,4,3.8,15.2,"vegano,cereal"
T000003,P013,Tahini (300g),Condimento,4,4.5,18.0,vegano
T000003,P010,Tofu ecológico (400g),Proteína,2,3.2,6.4,"vegano,proteina"
T000003,P014,Quinoa (500g),Cereal,4,3.8,15.2,"vegano,cereal"
T000004,P011,Bebida de soja (1L),Lácteos Alt,3,1.5,4.5,"vegano,lacteo"
T000004,P015,Aguacate (4 uds),Fruta,4,4.2,16.8,"vegano,fruta"
T000004,P012,Garbanzos ecológicos,Legumbre,3,2.1,6.3,"vegano,legumbre"
T000004,P013,Tahini (300g),Condimento,2,4.5,9.0,vegano
T000004,P010,Tofu ecológico (400g),Proteína,1,3.2,3.2,"vegano,proteina"
T000004,P014,Quinoa (500g),Cereal,1,3.8,3.8,"vegano,cereal"
T000005,P014,Quinoa (500g),Cereal,1,3.8,3.8,"vegano,cereal"
T000005,P012,Garbanzos ecológicos,Legumbre,1,2.1,2.1,"vegano,legumbre"
T000005,P011,Bebida de soja (1L),Lácteos Alt,2,1.5,3.0,"vegano,lacteo"
T000005,P015,Aguacate (4 uds),Fruta,2,4.2,8.4,"vegano,fruta"
T000006,P010,Tofu ecológico (400g),Proteína,4,3.2,12.8,"vegano,proteina"
T000006,P011,Bebida de soja (1L),Lácteos Alt,4,1.5,6.0,"vegano,lacteo"
T000006,P013,Tahini (300g),Condimento,4,4.5,18.0,vegano
T000006,P012,Garbanzos ecológicos,Legumbre,4,2.1,8.4,"vegano,legumbre"
T000007,P010,Tofu ecológico (400g),Proteína,4,3.2,12.8,"vegano,proteina"
T000007,P011,Bebida de soja (1L),Lácteos Alt,2,1.5,3.0,"vegano,lacteo"
T000007,P014,Quinoa (500g),Cereal,1,3.8,3.8,"vegano,cereal"
T000007,P013,Tahini (300g),Condimento,2,4.5,9.0,vegano
T000007,P012,Garbanzos ecológicos,Legumbre,2,2.1,4.2,"vegano,legumbre"
T000007,P015,Aguacate (4 uds),Fruta,2,4.2,8.4,"vegano,fruta"
T000008,P013,Tahini (300g),Condimento,4,4.5,18.0,vegano
T000008,P015,Aguacate (4 uds),Fruta,1,4.2,4.2,"vegano,fruta"
T000008,P012,Garbanzos ecológicos,Legumbre,4,2.1,8.4,"vegano,legumbre"
T000008,P010,Tofu ecológico (400g),Proteína,4,3.2,12.8,"vegano,proteina"
T000008,P011,Bebida de soja (1L),Lácteos Alt,2,1.5,3.0,"vegano,lacteo"
T000009,P014,Quinoa (500g),Cereal,1,3.8,3.8,"vegano,cereal"
T000009,P012,Garbanzos ecológicos,Legumbre,3,2.1,6.3,"vegano,legumbre"
T000009,P013,Tahini (300g),Condimento,1,4.5,4.5,vegano
